index,address_1,address_2,name,expiration_date
1,28 LIPCA 1943,17A,"ARS MODI A.BRĄGIEL, R.ZIELIŃSKI SPÓŁKA JAWNA",2029-08-10
2,AGATOWA,1,RADECKI DAMIAN,2027-09-11
3,ALBERTA SCHWEITZERA,3,RESTAURACJA ŻYDOWSKA ARIEL SPÓŁKA Z OGRANICZONA ODPOWIEDZILANOŚCIĄA,2028-06-30
4,ALEJA 29 LISTOPADA,137,GRABOWSKI ZDZISŁAW,2030-08-27
5,ALEJA 29 LISTOPADA,189,WM HOTEL SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZILANOŚCIĄ,2031-05-20
6,ALEJA 3 MAJA,5,FUNDACJA STUDENTÓW I ABSOLWENTÓW UNIWERSYTETU JAGIELLOŃSKIEGO BRATNIAK,2029-04-25
7,ALEJA 3 MAJA,9,PARK KLUB RESTAURACJA SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,2031-10-14
8,ALEJA 3 MAJA,51,PI HOTELE SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-07-31
9,ALEJA 3 MAJA,55,WISTERIA SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWO-AKCYJNA,2031-09-16
10,ALEJA 3 MAJA,47A,DOBRY HOTEL SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,2031-04-11
11,ALEJA GEN. TADEUSZA BORA- KOMOROWSKIEGO,41 lok B226,BB ACTIVE INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2030-10-16
12,ALEJA IGNACEGO DASZYŃSKIEGO,5,SOBÓL URSZULA,2026-03-05
13,ALEJA JANA PAWŁA II,70,PRZEDSIĘBIORSTWO WIELOBRANŻOWE WAGABUNDA I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2031-03-03
14,ALEJA JANA PAWŁA II,78,ROSPOND MONIKA,2030-08-31
15,ALEJA JULIUSZA SŁOWACKIEGO,64,"MUSZYŃSKI MATEUSZ, HEKERLE GRZEGORZ",2029-10-31
16,ALEJA KIJOWSKA,40/1,KOWALSKA MAGDALENA,2030-01-16
17,ALEJA KIJOWSKA,"5/172,173",KIJOVSKA FIDELUS SPÓŁKA KOMANDYTOWA,2029-04-14
18,ALEJA KIJOWSKA,7 lok. 169,FAVO RETAIL GROUP SPÓŁKA Z O.O.,2032-03-10
19,ALEJA MARSZAŁKA FERDYNANDA FOCHA,1,PS SPÓŁKA Z O.O.,2030-06-12
20,ALEJA MARSZAŁKA FERDYNANDA FOCHA,1,PS SPÓŁKA Z O.O.,2030-06-12
21,ALEJA MARSZAŁKA FERDYNANDA FOCHA,40,HOTEL FUNDACJI PBR SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2027-07-10
22,ALEJA MARSZAŁKA FERDYNANDA FOCHA,41,"HOŁUBICZKO MAGDALENA, BOBEK BARTOSZ, MATYJAS MARIUSZ",2029-05-13
23,ALEJA MARSZAŁKA FERDYNANDA FOCHA,42,LEI FOOD & DRINKS KRZYSZTOF NOWOSAD SPÓŁKA JAWNA,2030-03-19
24,ALEJA MARSZAŁKA FERDYNANDA FOCHA,24/1,BOOGIE SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,2030-09-07
25,ALEJA PŁK. WŁADYSŁAWA BELINY- PRAŻMOWSKIEGO,2 D,LIA TRANSPORT SPÓŁKA Z O.O.,2032-08-08
26,ALEJA PŁK. WŁADYSŁAWA BELINY- PRAŻMOWSKIEGO,2D,KING IMPERIAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2030-04-14
27,ALEJA POKOJU,60,RYCZEK EWA,2032-06-16
28,ALEJA POKOJU,67,KOZIEŁ SEBASTIAN,2028-09-10
29,ALEJA POKOJU,81,TRATTORIA KRAKÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-12-29
30,ALEJA POKOJU,1A,GOLIK-SKURA AGNIESZKA,2031-03-13
31,ALEJA ZYGMUNTA KRASIŃSKIEGO,1,MIVISTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2031-08-13
32,ALEJA ZYGMUNTA KRASIŃSKIEGO,8,J.K.A VENTURE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2026-05-24
33,ALEJA ZYGMUNTA KRASIŃSKIEGO,34,APOLLO FILM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-11-03
34,ALEKSANDRA LUBOMIRSKIEGO,24,DELI RESTAURANT PROSTA SPÓŁKA AKCYJNA,2032-07-07
35,ALEKSANDRY,30,WBA BRACIA BARŁOWSCY SPÓŁKA JAWNA,2026-09-12
36,ANDRZEJA FRYCZA- MODRZEWSKIEGO,2/11,WŁOCH SEBASTIAN,2030-12-01
37,ARMII KRAJOWEJ,11,ORBIS SPÓŁKA AKCYJNA,2031-07-12
38,ARMII KRAJOWEJ,19,MACHAJ SPÓŁKA KOMANDYTOWO - AKCYJNA,2027-12-22
39,AUGUSTIAŃSKA,24/LU -2,LONGHORN ADAM,2029-04-19
40,AUGUSTIAŃSKA,24/LU3,THE TRUST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-02-21
41,BALICKA,18,STACH DANIEL,2030-07-03
42,BALICKA,18 A,KOZLOVA TETIANA,2032-04-14
43,BALICKA,253B,WIŚNIEWSKA ANNA,2028-02-05
