index,address_1,address_2,name,expiration_date
49,AUGUSTIAŃSKA,4,POPLAWSKA DOROTA,2025-08-09
50,AUGUSTIAŃSKA,5,SUDER BARTŁOMIEJ,2022-05-11
51,AUGUSTIAŃSKA,24/LU -2,LONGHORN ADAM,2029-04-19
52,AUGUSTIAŃSKA,24/LU3,THE TRUST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-02-21
53,AUGUSTIAŃSKA,24/LU4,"ORKISZ ŁUKASZ, KUMAR RAKESH, PERIYASAMY DHANASEKAR",2027-02-07
54,BALICKA,2,CZAJA TOMASZ,2028-02-16
55,BALICKA,18,STACH DANIEL,2022-07-03
56,BALICKA,324,KUBALA ANNA,2027-05-07
57,BALICKA,14A,GRANUZZO GABRIELE,2027-02-06
58,BALICKA,18A,KAIM PATRYK,2022-03-21
59,BALICKA,253B,WIŚNIEWSKA ANNA,2028-02-05
60,BARSKA,2,"FIRMA BUDOWLANA STAMBUD MAŁGORZATA MRÓZ,STANISŁAW MRÓZ SPÓŁKA JAWNA",2023-07-09
61,BARSKA,39,JASIOŁEK PAULINA,2028-08-23
62,BARSKA,61A/LU1,GUSTAV SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-06-17
63,BARTOSZA GŁOWACKIEGO,22,PRZEDSIĘBIORSTWO USŁUG TURYSTYCZNO-HANDLOWYCH DEMEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZILANOŚCIĄ,2028-06-01
64,BASZTOWA,15,NAWITO SP. Z O.O. SP. K.,2023-03-20
65,BASZTOWA,25,KOMUSIŃSKI STANISŁAW,2023-02-06
66,BENEDYKTYŃSKA,37,"""BENEDICITE"" JEDNOSTKA GOSPODARCZA OPACTWA BENEDYKTYNÓW W TYŃCU",2028-11-16
67,BENEDYKTYŃSKA,37,"""BENEDICITE"" JEDNOSTKA GOSPODARCZA OPACTWA BENEDYKTYNÓW W TYŃCU",2028-11-16
68,BERKA JOSELEWICZA,17-19,"BAŚ PAWEŁ, STOLAREK KRZYSZTOF",2023-07-29
69,BERKA JOSELEWICZA,18/LU 1,SZLACHTA DOROTA,2024-09-13
70,BERKA JOSELEWICZA,21B,THE MOON LOUNGE BAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2026-11-09
71,BERKA JOSELEWICZA,23A,BDSM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ,2029-06-27
72,BIAŁOPRĄDNICKA,32,KONDERAK TATIANA,2023-09-04
73,BIAŁORUSKA,8B,CISAK MARIA,2023-02-25
74,BIEŃCZYCKI PLAC TARGOWY,paw. 31,BEDNARCZYK KAROLINA,2029-05-14
75,BOCHEŃSKA,7,ED RED SPÓŁKA AKCYJNA,2028-07-10
76,BOCHEŃSKA,2A,COFFEE BROTHERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-10-26
77,BOCHEŃSKA,5/LU1,GUMULIŃSKA EWA,2023-10-10
78,BOCHEŃSKA,5/LU3,"WAGNER TOMASZ, ŁĘTOCHA BARTŁOMIEJ, RZEŹNICZEK SZYMON",2027-07-04
79,BOCIANA,8,KAPAŁA MACIEJ,2028-07-09
80,BOHATERÓW GETTA,2,TARGOSZ MICHAŁ,2022-06-08
81,BOLESŁAWA CZERWIEŃSKIEGO,20A,WAGA DOROTA,2028-09-14
82,BOLESŁAWA LIMANOWSKIEGO,1,"RAKOCZY ALEKSANDRA, KRAWIEC PIOTR",2027-09-11
83,BOLESŁAWA LIMANOWSKIEGO,11,DĄSAL BOŻENA,2028-12-17
84,BOLESŁAWA ORLIŃSKIEGO,3/2,PABJAN MATEUSZ,2023-09-05
85,BOLESŁAWA ORLIŃSKIEGO,1 lok. LU 2,BRUSCHETTA BREAKFAST & VINE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-05-16
86,BOLESŁAWA ORLIŃSKIEGO,5/12 i 13,BAŃDURA MARCIN,2023-10-01
87,BOLESŁAWA ŚMIAŁEGO,60,FERO EXPRESS HOTEL I RESTAURACJA SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2026-12-31
88,BONARKA,5,POMODORINI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ,2027-08-28
89,BORKOWSKA,32,BJ SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-05-09
90,BOROWINOWA,2,SW SATUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-05-10
91,BOSACKA,7,KOCIUMBAS WALDEMAR,2029-05-26
92,BOSACKA,5/1A,KRAK REST TOMASZ CICHOŃ SPÓŁKA JAWNA,2025-10-04
93,BOŻEGA CIAŁA,3,ZAJĄCZKOWSKI PIOTR,2025-05-21
94,BOŻEGO CIAŁA,7,CYKLOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2023-12-04
95,BOŻEGO CIAŁA,9,ŁUCZYŃSKI BARTOSZ,2022-09-01
96,BOŻEGO CIAŁA,11,PABIAN TOMASZ,2027-05-13
97,BOŻEGO CIAŁA,11,SAWICKA-DANIELAK MARTA,2025-11-11
98,BOŻEGO CIAŁA,12,GASTRO INVEST GROUP SPÓŁKA Z O.O.,2023-06-07
99,BOŻEGO CIAŁA,19,RT HOTELS SPÓŁKA AKCYJNA,2027-04-04
100,BOŻEGO CIAŁA,14/1,LITWIN STANISŁAW,2027-10-12
101,BOŻEGO CIAŁA,12/21,PIZIORSKA MAŁGORZATA,2022-06-05
102,BRACKA,4,1ST FLOOR SPÓŁKA Z O.O.,2024-12-26
103,BRACKA,6,MEETINGPOINTGROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZILANOŚCIĄ,2029-12-28
